show,speed,stm,htm,qtm,algid,ollid,posid,patid,alg,notes
,2.4,3,3,3,CV1,BaDbPcRp/Je,BbPpRcDa/Je,Je,F' U' F,RU Sexy-3
,2.4,3,3,3,CV2,BbDcEdKj/Ma,DdBbEjKc/Ma,Ma,R U R',RU Sexy-3
,3.2,4,4,4,DV1,AaFdKjNm/Mi,AaFjKmNd/Mi,Mi,F R' F' R,RF Sledgehammer
,3.2,4,4,4,DV2,AaIdPiQp/Jb,AaIiPpQd/Jb,Jb,R' F R F',RF Sledgehammer
,2.88,4,4,4,DV3,AaDcNdPj/Jb,NjAaPcDd/Jb,Jb,U R U' R',Anti-Sexy RU
,2.88,4,4,4,DV4,AaBbIdKp/Mi,IaBbKdAp/Mi,Mi,U' F' U F,Anti-Sexy RU
,3.52,4,4,6,DV5,BaEbFdPp/Mi,PpEbFaBd/Mi,Mi,U2 F' U2 F,RU Sune-End
,3.52,4,4,6,DV6,DaKcQdRj/Jb,KaDdQcRj/Jb,Jb,U2 R U2 R',RU Sune-End
,4.0,4,4,6,DUV7,AaLcQdVl/IbJnWpXr,AaLlQcVd/IpJbWnXr,Jb,R' F2 R F2,RF
,4.0,4,4,6,DVW7,DbEcPdWp/MaNfUrXt,PpEbWcDd/UfMtNaXr,Mt,B' R2 B R2,RF Semisonic
,4.0,4,4,6,DUV8,BaKbRcUj/IeJlWnXr,KaBbUcRj/IeJlWnXr,Jl,L F2 L' F2,RF
,4.0,4,4,6,DVW8,AaFbOdVn/MfNiUpXr,AaVbFnOd/UfMiNpXr,Mi,F R2 F' R2,RF Semisonic
,5.6,5,5,9,DUVW9,AaDbUcVd/BlCnWpXr,DdVaUbAc/WnClBpXr,Cl,U F2 R2 F2 R2,RFU
,5.6,5,5,9,DUVX9,AaBbUcXd/ChDjVlWn,BdAaUbXc/DhClWnVj,Cl,U L2 F2 L2 F2,RFU
,4.8,4,4,8,DUWX9,CaDbWcXd/AfBhUjVt,WaDbCcXd/AhVjUfBt,Vj,B2 L2 B2 L2,RF
