patid,alg,notes
,,1 slot algs:
Ma,R U R',
Je,F' U' F,
Jb,U R U' R',
Mi,U' F' U F,
Cd,R B U2 B' R',
Cq,F' L' U2 L F,
Md,F2 U' L' U L F2,
Jq,R2 U B U' B' R2,
Ja,F2 L' U' L U F2,
Me,R2 B U B' U' R2,
Cb,R U2 R' U' R U R',
Ci,F' U2 F U F' U' F,
Jc,R B L U' L' B' R',
Mm,F' L' B' U B L F,
Ca,U R U2 R2 F R F',
Ce,U' F' U2 F2 R' F' R,
Jd,R U B U2 B' U R',
Mq,F' U' L' U2 L U' F,
Mc,R' U2 R2 U R2 U R,
Jm,F U2 F2 U' F2 U' F',
Mb,U' R U' R' U R U R',
Ji,U F' U F U' F' U' F,
Cc,U2 R2 U2 R' U' R U' R2,
Cm,U2 F2 U2 F U F' U F2,
Jj,U' R U' R' U2 R U' R',
Mj,U R U R' U2 R U R',
Jp,U' R U R' U F' U' F,
Mp,U F' U' F U' R U R',
Cp,R U' R' U F' U F,
Cj,R U R' U' R U R' U' R U R',
Kb,R U' R2 F R F',
Pi,F' U F2 R' F' R,
Pb,R U R' U' R U R',
Ki,F' U' F U F' U' F,
Vb,R' U' R' U' R' U R U R,
Vi,F U F U F U' F' U' F',
Pp,R2 B U B' U' R' U R',
Kp,R U' R U B U' B' R2,
Pj,R U' R' F2 L' U' L U F2,
Kj,F' U F R2 B U B' U' R2,
Vp,R2 U2 F R2 F' U2 R' U R',
,,2 slot algs:
Cf,U2 F' L F L' F' U' F,
Ch,U2 R B' U B R',
Cl,F' R' F2 R F,
Cn,U2 R B' R' B R U R',
Cr,R2 D B2 D' R2,
Ct,R F R2 F' R',
Jf,R' D' F' D R,
Jh,L F' U' F L',
Jl,L F2 L' F2,
Jn,F' U' R' U R F,
Jr,U B' U' B F' U' F,
Jt,U B U' F' U' B' F,
Mf,R U F U' F' R',
Mh,B' R U R' B,
Ml,U' L' U R U L R',
Mn,F D R D' F',
Mr,U' L U L' R U R',
Mt,B' R2 B R2,
Gb,U L' R U' L R',
Gf,F L F' L' F2 U' F,
Gi,U L' U' L F' U' F,
Gj,R U L' U' L R',
Gl,F U' F' U' F U' F2 U' F,
Gp,L D F' D' L' R U' R',
Hb,U L U2 L' R U R',
Hh,F' L U2 F' L' B' F U B F,
Hi,F' L U' F' L' F2,
Hj,F' U2 L U2 L' F,
Hp,R U' B2 R B R' B R',
Hr,F D F2 U F' D' L2 F2,
Kf,R U' R2 D' F' D R,
Kh,F' L U L' U2 F,
Kl,R U L' U2 L R',
Kn,R' U2 F R F2 U' F,
Kr,F' U F' D' L2 D F2,
Kt,F' U B U B' U F,
Lb,F U2 F' U R U R',
Lf,F U' F' R U B' R B R2,
Li,U F U F2 U2 F,
Lj,F' U F2 U F2 U2 F,
Ll,F U' F D U' B' R2 B D',
