htm,alg,notes
3,F' U' F,Sexy-3
3,R U R',Sexy-3
4,U R U' R',Anti-Sexy
4,U' F' U F,Anti-Sexy
4,U2 F' U2 F,Sune-End
4,U2 R U2 R',Sune-End
4,F R' F' R,Sledgehammer
4,R' F R F',Sledgehammer
4,B' R2 B R2,Semisonic
4,F R2 F' R2,Semisonic
5,U' R2 F R2 F',Semisonic
5,U2 R2 B' R2 B,Semisonic
4,R2 B2 R2 B2,
5,U' B2 R2 B2 R2,
5,F' L' U2 L F,Rib
5,R B U2 B' R',Rib
6,U F' L' U' L F,
6,U R B U' B' R',
6,U' F' L' U L F,
6,U' R B U B' R',
6,U2 F' L F' L' F2,
6,U2 F2 L F L' F,
6,U2 R B' R B R2,
6,U2 R2 B' R' B R',
5,B F' U' B' F,
5,B R U R' B',
5,B' D' R D B,
5,B' D' R' D B,
5,B' R B U2 R',
5,D B U' B' D',
5,F D R D' F',
5,F R' F' U R,
5,F R' F' U' R,
5,F R' F' U2 R,
5,F' B U' F B',
5,F' R' U R F,
5,L2 D2 R' D2 L2,
5,L2 D2 R2 D2 L2,
5,R F R2 F' R',
5,R U B' R' B,
5,R U R2 U R,
5,R U R2 U' R,
5,R U R2 U2 R,
5,R' B' R' B R,
5,R' B' R2 B R,
5,R' U F R F',
5,R' U R2 U R',
5,R' U' F R F',
5,R' U' R2 U R',
5,R' U2 F R F',
5,R' U2 R2 U R',
5,R2 U R2 U' R2,
5,R2 U' R' U R2,
5,R2 U' R2 U R2,
5,R2 U2 R' U2 R2,
5,R2 U2 R2 U2 R2,
6,U B R U' R' B',
6,U B' R B U' R',
6,U D B U2 B' D',
6,U D R' U2 R D',
6,U D' F' U' F D,
6,U D' R U' R' D,
6,U F D R' D' F',
6,U F' R' U' R F,
6,U R F R' F' R',
6,U R U' B' R' B,
6,U R U' R2 U R,
6,U R U' R2 U' R,
6,U R U' R2 U2 R,
6,U R' U R2 U2 R',
6,U R2 U' R U R2,
6,U' B F' U B' F,
6,U' B F' U2 B' F,
6,U' B R U2 R' B',
6,U' D B U B' D',
6,U' D R' U' R D',
6,U' D' F' U F D,
6,U' D' R U R' D,
6,U' F D R2 D' F',
6,U' F' B U F B',
6,U' F' B U2 F B',
6,U' R F R F' R',
6,U' R' U R2 U' R',
6,U' R' U' R2 U2 R',
6,U' R' U2 R2 U' R',
6,U' R' U2 R2 U2 R',
6,U' R2 U R U' R2,
6,U2 B' D' R2 D B,
6,U2 B' R B U R',
6,U2 D R' U R D',
6,U2 D' F' U2 F D,
6,U2 D' R U2 R' D,
6,U2 F' R' U2 R F,
6,U2 L2 D2 R D2 L2,
6,U2 R U2 B' R' B,
6,U2 R U2 R2 U R,
6,U2 R U2 R2 U' R,
6,U2 R U2 R2 U2 R,
6,U2 R' B' R B R,
6,U2 R' U' R2 U' R',
6,U2 R2 U R' U' R2,
6,U2 R2 U2 R U2 R2,
5,B R2 B R2 B',
5,B' R U B R',
5,B' U2 R2 B R2,
5,B2 D' U R2 D,
5,D B2 D' U R2,
5,D' R2 D U' B2,
5,F D2 B D2 F',
5,L' D2 R D2 L,
5,L' D2 R' D2 L,
5,L' D2 R2 D2 L,
5,R U B2 R' B2,
5,R' B2 R B2 R,
5,R' B2 R' B2 R,
5,R' B2 R2 B2 R,
5,R2 D U' B2 D',
6,U B' R U' B R',
6,U B' U' R2 B R2,
6,U B2 R B2 U' R',
6,U R B' U' R' B,
6,U R U' B2 R' B2,
6,U' B R2 B' R2 B',
6,U' B2 R B2 U R',
6,U' F D2 B' D2 F',
6,U2 B R2 B2 R2 B',
6,U2 B' R U2 B R',
6,U2 B' U R2 B R2,
6,U2 B2 R B2 U2 R',
6,U2 F D2 B2 D2 F',
6,U2 R B' U R' B,
6,U2 R B' U2 R' B,
6,U2 R U2 B2 R' B2,
6,U2 R2 B' R2 U B,
6,U2 R2 B' R2 U' B,
6,U2 R2 B' R2 U2 B,
5,B' F' U' B F,
5,B' F' U2 B F,
5,B' R U R' B,
5,B' R2 B' R2 B2,
5,B2 D' R' D B2,
5,B2 D' R2 D B2,
5,B2 R2 B R2 B,
5,D2 B' U2 B D2,
5,D2 L U2 L' D2,
5,F' L2 F' L2 F2,
5,F2 D' L2 D F2,
5,F2 L2 F L2 F,
5,L F' U' F L',
5,L F2 L F2 L2,
5,L R U L' R',
5,L R U2 L' R',
5,L2 D F D' L2,
5,L2 D F2 D' L2,
5,L2 F2 L' F2 L',
5,R B2 R B2 R2,
5,R2 B2 R' B2 R',
5,R2 D B2 D' R2,
6,U B' R U' R' B,
6,U D2 B' U B D2,
6,U D2 F' U' F D2,
6,U D2 R U' R' D2,
6,U F2 D' L' D F2,
6,U L2 D F' D' L2,
6,U R B' U' B R',
6,U' B2 D' R D B2,
6,U' D2 F' U F D2,
6,U' D2 L U' L' D2,
6,U' D2 R U R' D2,
6,U' F' L U L' F,
6,U' L F' U F L',
6,U' R2 D B D' R2,
6,U2 B' F' U B F,
6,U2 B' R U2 R' B,
6,U2 D2 B' U' B D2,
6,U2 D2 F' U2 F D2,
6,U2 D2 L U L' D2,
6,U2 D2 R U2 R' D2,
6,U2 F' L U' L' F,
6,U2 F' L U2 L' F,
6,U2 F2 D' L D F2,
6,U2 L F' U2 F L',
6,U2 L R U' L' R',
6,U2 R B' U B R',
6,U2 R B' U2 B R',
6,U2 R2 D B' D' R2,
6,L U F U' F' L',Anti-Fruit c
6,L' B' U' B U L,Fruit c
6,R B U B' U' R',Fruit c
6,R' U' F' U F R,Anti-Fruit c
6,B F' U' F U B',
6,B U' F' U B' F,
6,B' F R' F' R B,
6,B' F R2 F' R2 B,
6,B' R' F R B F',
6,F' L' U L U F,
6,F' U F R U2 R',
6,F' U F2 R' F' R,
6,F' U L F' L' F2,
6,F' U2 F R U2 R',
6,F' U2 L F' L' F2,
6,F' U2 L' U L F,
6,F2 L' U' L U F2,Sexy-F2
6,F2 U' L' U L F2,Anti-Sexy-F2
6,L F R' F' L' R,
6,L R' F R F' L',
6,L R' F2 R F2 L',
6,L' R U R' U' L,
6,L' U R U' L R',
6,R B U' B' U' R',
6,R U' B' R B R2,
6,R U' R' F' U2 F,
6,R U' R2 F R F',
6,R U2 B U' B' R',
6,R U2 B' R B R2,
6,R U2 R' F' U2 F,
6,R2 B U B' U' R2,Sexy-F2
6,R2 U B U' B' R2,Anti-Sexy-F2
7,U F' L' U2 L U F,
7,U F' L' U2 L U' F,
7,U F' U F R U' R',
7,U F' U L' U2 L F,
7,U F' U' F R U' R',
7,U F' U' L' U' L F,
7,U R B U B' U R',
7,U R U B' R B R2,
7,U R U R' F' U2 F,
7,U R U2 B U2 B' R',
7,U R U2 R' F' U' F,
7,U R U2 R2 F R F',Shortest-Side
7,U R' F R F2 U F,
7,U R' F R F2 U' F,
7,U R2 B' R' B U' R',
7,U' F R' F' R2 U R',
7,U' F R' F' R2 U' R',
7,U' F' L' U' L U' F,
7,U' F' U' F R U2 R',
7,U' F' U' L F' L' F2,
7,U' F' U2 F R U R',
7,U' F' U2 F2 R' F' R,Shortest-Side
7,U' F' U2 L' U2 L F,
7,U' F2 L F L' U F,
7,U' R B U2 B' U R',
7,U' R B U2 B' U' R',
7,U' R U B U B' R',
7,U' R U R' F' U F,
7,U' R U' B U2 B' R',
7,U' R U' R' F' U F,
7,U2 B' F' U F U' B,
7,U2 F' L' U' L U2 F,
7,U2 F' L' U2 L U2 F,
7,U2 F' U F R U R',
7,U2 F' U L' U L F,
7,U2 F' U' F R U R',
7,U2 F' U' F2 R' F' R,
7,U2 F' U' L' U2 L F,
7,U2 F2 L F L' U2 F,
7,U2 L R U' R' U L',
7,U2 R B U B' U2 R',
7,U2 R B U2 B' U2 R',
7,U2 R U B U2 B' R',
7,U2 R U R' F' U' F,
7,U2 R U R2 F R F',
7,U2 R U' B U' B' R',
7,U2 R U' R' F' U' F,
7,U2 R2 B' R' B U2 R',
6,B F R' F' R B',
6,B F' U B' U F,
6,B F' U' B' U F,
6,B F' U' F U' B',
6,B F' U' F U2 B',
6,B R U R' U B',
6,B R U R' U' B',
6,B R U R' U2 B',
6,B R' F R B' F',
6,B R' F R F' B',
6,B U B' F' U' F,
6,B U B' R U' R',
6,B U F' B' U' F,
6,B U F' U' B' F,
6,B U F' U' F B',
6,B U R U' R' B',
6,B U' B' F' U F,
6,B U' F' B' U F,
6,B U' R U2 R' B',
6,B U2 B' F' U F,
6,B U2 B' R U' R',
6,B U2 F' B' U F,
6,B U2 F' U2 B' F,
6,B U2 F' U2 F B',
6,B U2 R U' R' B',
6,B U2 R U2 R' B',
6,B' R B2 U B' R',
6,B' R2 B R U R,
6,B' R2 B R U' R,
6,B' R2 B R U2 R,
6,B' R2 B R' U R',
6,B2 U B2 D' R2 D,
6,D U B U2 B' D',
6,D U R' U2 R D',
6,D U' B U B' D',
6,D U' R' U' R D',
6,D' F R' F' R D,
6,D' F2 U' F2 D R2,
6,D' R' F R F' D,
6,D' R2 D B2 U' B2,
6,D' U F' U' F D,
6,D' U R U' R' D,
6,D' U' F' U F D,
6,D' U' R U R' D,
6,D2 L2 U2 L2 D2 R2,
6,D2 R2 D2 L2 U2 L2,
6,F B R' F' R B',
6,F R' F2 U F R,
6,F R' F2 U' F R,
6,F R' F2 U2 F R,
6,F R2 F' R U R,
6,F R2 F' R U' R,
6,F R2 F' R U2 R,
6,F R2 F' R' U' R',
6,F U R' U' F' R,
6,F' B U B' U F,
6,F' B U' B' U F,
6,F' B U' F U' B',
6,F' B U' F U2 B',
6,F' R' U R U2 F,
6,F' R' U' R U F,
6,F' R' U' R U2 F,
6,F' R' U2 R U' F,
6,F' U F2 R2 F' R2,
6,F' U' B F U B',
6,F' U' B F U' B',
6,F' U' B F U2 B',
6,F' U' B U B' F,
6,F' U' B U F B',
6,F' U' B U2 B' F,
6,F' U' B U2 F B',
6,F' U' F B U B',
6,F' U' F B U' B',
6,F' U' F B U2 B',
6,F' U' F R' U R,
6,F' U' F R' U' R,
6,F' U' F R' U2 R,
6,F' U' R' U R F,
6,F' U' R' U' R F,
6,F' U' R' U2 R F,
6,F' U2 B U2 B' F,
6,F' U2 B U2 F B',
6,F2 U' F2 D R2 D',
6,L2 U2 L2 D2 R2 D2,
6,R B U2 B2 R' B,
6,R F R F' U' R',
6,R F R' F' U' R',
6,R U F R' F' R',
6,R U R' B U B',
6,R U R' B U' B',
6,R U R' B U2 B',
6,R U' F R2 F' R',
6,R U' R B' R2 B,
6,R U2 F R' F' R',
