alg,notes
B F' U' F U B',
B U' F' U B' F,
B' F R' F' R B,
B' F R2 F' R2 B,
B' R' F R B F',
F' L' U L U F,
F' U F R U2 R',
F' U F2 R' F' R,
F' U L F' L' F2,
F' U2 F R U2 R',
F' U2 L F' L' F2,
F' U2 L' U L F,
F2 L' U' L U F2,Sexy-F2
F2 U' L' U L F2,Anti-Sexy-F2
L F R' F' L' R,
L R' F R F' L',
L R' F2 R F2 L',
L' R U R' U' L,
L' U R U' L R',
R B U' B' U' R',
R U' B' R B R2,
R U' R' F' U2 F,
R U' R2 F R F',
R U2 B U' B' R',
R U2 B' R B R2,
R U2 R' F' U2 F,
R2 B U B' U' R2,Sexy-F2
R2 U B U' B' R2,Anti-Sexy-F2
U F' L' U' L F,
U R B U' B' R',
U' F' L' U L F,
U' R B U B' R',
U2 F' L F' L' F2,
U2 F2 L F L' F,
U2 R B' R B R2,
U2 R2 B' R' B R',
