alg,notes
B D2 B' U2 B D2 B',
B L2 D F D' L2 B',
B L2 F2 L' F2 L' B',
B' D B U' B' D' B,
B' R B U2 B' R' B,
B' R F R2 F' R' B,
B' R' U' R2 U R' B,
B' R2 U' R' U R2 B,Shortest-Edge
F R' F2 U' F U R,
F R2 F' R2 B U2 B',
F U2 F2 U' F2 U' F',Blonde
F U2 L F L' U2 F',Shortest-Edge
F U2 L F' L' U2 F',Shortest-Edge
F' L' B' U B L F,Rebel
F' U F U F' U F,
F' U F U' F' U F,Anti-Sexy2
F' U F U' R U' R',
F' U F U2 F' U' F,
F' U F U2 F' U2 F,
F' U F U2 R U R',
F' U F' L F L' F,
F' U L' U L U2 F,
F' U L' U' L U2 F,
F' U L' U2 L U2 F,
F' U' F U F' U' F,Sexy2
F' U' F U' R U2 R',
F' U' F U2 R U' R',
F' U' L' U' L U F,
F' U' L' U2 L U' F,Rubber
F' U2 F U F' U' F,Split
F' U2 F U R U R',
F' U2 F U' F' U2 F,
F' U2 F U' R U' R',
F' U2 F U' R U2 R',
F' U2 F U2 R U' R',
F' U2 F' L F L' F,
F' U2 L' U' L U' F,
F2 L D' L D L2 F2,
F2 U' F2 U' F2 U2 F2,
F2 U2 R' F2 R U2 F2,
L D' L' U L D L',
L F U F2 U' F L',
L F' L' U2 L F L',
L F' R' F2 R F L',
L F2 U F U' F2 L',Shortest-Edge
L' B2 D' R' D B2 L,
L' B2 R2 B R2 B L,
L' D2 L U2 L' D2 L,
R B L U' L' B' R',Rebel
R U B U B' U' R',
R U B U2 B' U R',Rubber
R U R' U F' U2 F,
R U R' U' R U R',Sexy2
R U R' U2 F' U F,
R U' B U B' U2 R',
R U' B U' B' U2 R',
R U' B U2 B' U2 R',
R U' R B' R' B R',
R U' R' U F' U F,
R U' R' U R U' R',Anti-Sexy2
R U' R' U' R U' R',
R U' R' U2 F' U' F,
R U' R' U2 R U R',
R U' R' U2 R U2 R',
R U2 B U B' U R',
R U2 R B' R' B R',
R U2 R' U F' U F,
R U2 R' U F' U2 F,
R U2 R' U R U2 R',
R U2 R' U' F' U' F,
R U2 R' U' R U R',Split
R U2 R' U2 F' U F,
R' F R2 U R' U' F',
R' F2 R F2 L' U2 L,
R' U2 B' R B U2 R,Shortest-Edge
R' U2 B' R' B U2 R,Shortest-Edge
R' U2 R2 U R2 U R,Blonde
R2 B' D B' D' B2 R2,
R2 U R2 U R2 U2 R2,
R2 U2 F R2 F' U2 R2,
U B F2 D' L' D F2 B',
U B' F D R' D' B F',
U B' R B U' B' R' B,
U B' R F R' F' R' B,
U B' R2 U' R U R2 B,
U B' U F' U' B U' F,
U F D B' R' B D' F',
U F D F' U' F D' F',
U F R' F' R F' U F,
U F R' F' R F' U' F,
U F R2 D R D' F' R,
U F U R U' R2 F' R,
U F U2 L F2 L' U2 F',
U F' L F' L' F U' F,
U F' L' B' U' B L F,
U F' U F U F' U2 F,
U F' U F U R U2 R',
U F' U F U' F' U' F,Soldier
U F' U F U' R U R',
U F' U F U2 F' U F,
U F' U L' U L U F,
U F' U L' U L U' F,
U F' U' F U F' U2 F,
U F' U' F U R U2 R',
U F' U' F U' F' U' F,
U F' U' F U' R U R',
U F' U' F U2 F' U F,
U F' U2 B' U F U' B,
U F' U2 F U F' U2 F,Bend2
U F' U2 F U' F' U' F,
U F' U2 F U' R U R',
U F' U2 F U2 F' U F,
U F' U2 F U2 F' U' F,
U F' U2 F U2 R U R',
U F' U2 L' U L U' F,
U F' U2 L' U L U2 F,
U F' U2 L' U' L U2 F,
U F2 D' B L' B' D F2,
U F2 D' F U' F' D F2,
U F2 L F L2 U2 L F,
U L' R2 B' R' B L R',
U R U B U B' U2 R',
U R U B U2 B' U2 R',
U R U L U' R' U L',
U R U R' U F' U F,
U R U R' U' F' U' F,Fastest-Edge
U R U R' U' R U' R',
U R U R' U2 F' U' F,
U R U R' U2 R U R',
U R U' B U B' U' R',
U R U' B U2 B' U R',
U R U' R' F R' F' R,
U R U' R' U' F' U F,Fastest-Edge
U R U' R' U2 F' U2 F,
U R U2 B U' B' U' R',
U R U2 R' F R' F' R,
U R U2 R' U R U' R',Fastest-Side
U R U2 R' U' F' U F,
U R U2 R' U2 F' U2 F,
U R U2 R' U2 R U2 R',
U R' D' L F' L' D R,
U R' D' R U' R' D R,
U R2 D R' U' R D' R2,
U R2 U2 F R' F' U2 R2,
U' B F2 L F L' B' F,
U' F D B' R B D' F',
U' F D F' U F D' F',
U' F' U F R' F R F',
U' F' U F U R U' R',Fastest-Edge
U' F' U F U2 R U2 R',
U' F' U L' U' L U F,
U' F' U L' U2 L U' F,
U' F' U' B' U F U' B,
U' F' U' F U F' U F,
U' F' U' F U R U R',Fastest-Edge
U' F' U' F U' R U' R',
U' F' U' F U2 F' U' F,
U' F' U' F U2 R U R',
U' F' U' L' U' L U2 F,
U' F' U' L' U2 L U2 F,
U' F' U2 F R' F R F',
U' F' U2 F U R U' R',
U' F' U2 F U' F' U F,Fastest-Side
U' F' U2 F U2 F' U2 F,
U' F' U2 F U2 R U2 R',
U' F' U2 L' U L U F,
U' F2 D' F U F' D F2,
U' F2 U2 R' F R U2 F2,
U' L F' L' U L F L',
U' L F' R' F R F L',
U' L F2 U F' U' F2 L',
U' L R' D' F D L' R,
U' L U' R U L' U R',
U' L' R2 D B D' R2 L,
U' R B L U L' B' R',
U' R B' R B R' U R',
U' R U R' U F' U' F,
U' R U R' U R U R',
U' R U R' U' F' U2 F,
U' R U R' U' R U2 R',
U' R U R' U2 R U' R',
U' R U' B U' B' U R',
U' R U' B U' B' U' R',
U' R U' R' U F' U' F,
U' R U' R' U R U R',Soldier
U' R U' R' U' F' U2 F,
U' R U' R' U' R U2 R',
U' R U' R' U2 R U' R',
U' R U2 B U B' U2 R',
U' R U2 B U' B' U R',
U' R U2 B U' B' U2 R',
U' R U2 L U' R' U L',
U' R U2 R' U F' U' F,
U' R U2 R' U R U R',
U' R U2 R' U' R U2 R',Bend2
U' R U2 R' U2 F' U' F,
U' R U2 R' U2 R U R',
U' R U2 R' U2 R U' R',
U' R' D' L F L' D R,
U' R' D' R U R' D R,
U' R' F R F' R U R',
U' R' F R F' R U' R',
U' R' F2 D' F' D R F',
U' R' U' F' U F2 R F',
U' R' U2 B' R2 B U2 R,
U' R2 B' R' B2 U2 B' R',
U' R2 D L' B L D' R2,
U' R2 D R' U R D' R2,
U2 B L F2 L F2 L2 B',
U2 B U' F' U B' U2 F,
U2 B' R B U B' R' B,
U2 B' R F R F' R' B,
U2 B' R2 U' R2 U R2 B,
U2 F R' F' R F' U2 F,
U2 F U F2 U F2 U2 F',
U2 F U2 L F2 L' U2 F',
U2 F' L F' L' F U2 F,
U2 F' L' U' L2 F' L' F2,
U2 F' L' U2 L2 F' L' F2,
U2 F' U F U F' U' F,
U2 F' U F U R U R',
U2 F' U F U' F' U2 F,
U2 F' U L' U' L U' F,
U2 F' U' F R' F R F',
U2 F' U' F U R U' R',
U2 F' U' F U' F' U F,
U2 F' U' F U2 R U2 R',
U2 F' U' L' U L U F,
U2 F' U2 L' U2 L U2 F,
U2 F2 D' F U2 F' D F2,
U2 F2 L' B L' B' L2 F2,
U2 F2 L2 B L B' L F2,
U2 F2 U' F U' F' U2 F2,
U2 F2 U2 F U F' U F2,Weird
U2 F2 U2 F2 U F2 U F2,
U2 F2 U2 R' F' R U2 F2,
U2 L F' L' U' L F L',
U2 L F' R' F' R F L',
U2 L F2 U F2 U' F2 L',
U2 L' B' R2 B' R2 B2 L,
U2 L' U R U' L U2 R',
U2 R B U B2 R B R2,
U2 R B U2 B2 R B R2,
U2 R B' R B R' U2 R',
U2 R U B U' B' U' R',
U2 R U R' F R' F' R,
U2 R U R' U R U' R',
U2 R U R' U' F' U F,
U2 R U R' U2 F' U2 F,
U2 R U' B U B' U R',
U2 R U' R' U R U2 R',
U2 R U' R' U' F' U' F,
U2 R U' R' U' R U R',
U2 R U2 B U2 B' U2 R',
U2 R' F R F' R U2 R',
U2 R' U' R2 U' R2 U2 R,
U2 R' U2 B' R2 B U2 R,
U2 R2 B L' B L B2 R2,
U2 R2 B2 L' B' L B' R2,
U2 R2 D R' U2 R D' R2,
U2 R2 U R' U R U2 R2,
U2 R2 U2 F R F' U2 R2,
U2 R2 U2 R' U' R U' R2,Weird
U2 R2 U2 R2 U' R2 U' R2,
