alg,notes
B D2 F' U2 F D2 B',
B D2 L U' L' D2 B',
B D2 L U2 L' D2 B',
B D2 R U R' D2 B',
B F R' F' R U B',
B F R' F' R U' B',
B F R' F' R U2 B',
B F' L' U2 L B' F,
B L F' U' F L' B',
B L R U L' R' B',
B L2 D2 R2 F D2 L2,
B R B U2 B' R' B',
B R B2 R B2 R2 B',RF
B R' F R F' U B',
B R' F R F' U' B',
B R' F R F' U2 B',
B R2 D B2 D' R2 B',
B U B' R' F R F',
B U B' U F' U2 F,RUL
B U B' U R U' R',
B U B' U R U2 R',RFU
B U B' U' F' U' F,RUL
B U B' U' R U R',RFU
B U B' U2 F' U F,RUL
B U B' U2 R U2 R',RFU
B U B2 D' R' D B,
B U B2 R B U' R',
B U F' U' F U B',RUL
B U F' U' F U' B',
B U F' U' F U2 B',
B U F' U2 B' U F,RUL
B U R U' R' U B',
B U R U' R' U' B',RFU
B U R U' R' U2 B',
B U R' F R B' F',
B U' B' U R U R',
B U' B' U' F' U2 F,
B U' B2 D' R D B,
B U' F' U F U B',
B U' F' U F U' B',
B U' F' U F U2 B',RUL
B U' F' U' B' U F,
B U' F' U2 B' U F,
B U' F' U2 B' U' F,
B U' R U2 R' U B',RFU
B U' R U2 R' U' B',RFU
B U' R U2 R' U2 B',
B U2 B' U F' U' F,
B U2 B' U R U R',
B U2 B' U R U2 R',
B U2 B' U' F' U2 F,
B U2 B' U' R U2 R',
B U2 B' U2 R U' R',
B U2 B2 R B U' R',
B U2 F' U' B' U' F,
B U2 F' U2 F U B',
B U2 F' U2 F U' B',
B U2 R U' R' U B',RFU
B U2 R U' R' U' B',
B U2 R U' R' U2 B',
B U2 R U2 R' U B',RFU
B U2 R U2 R' U' B',
B U2 R U2 R' U2 B',RFU
B' D' R D B2 U B',
B' D' R D B2 U' B',
B' D' R D B2 U2 B',
B' D' R D R B R',
B' D' R' D B2 U B',
B' D' R' D B2 U' B',
B' D' R' D B2 U2 B',
B' D' R' D R B R',
B' F R B R F' R2,
B' F R B R2 F' R,
B' F R' F' R' B R2,
B' F R' F' R2 B R',
B' F R2 F' R' B R',
B' F' R B R' U F,
B' F' R B R' U' F,
B' F' R B R' U2 F,
B' L2 D' R D L2 B,
B' L2 D' R' D L2 B,
B' R B F R F' R',
B' R B R B' R2 B,
B' R B R' F' U F,
B' R B R' F' U2 F,
B' R B U2 R2 U R,
B' R B U2 R2 U' R,
B' R B U2 R2 U2 R,
B' R B2 U B' U2 R',RFU
B' R B2 U B2 R' B,
B' R B2 U' B' U2 R',
B' R B2 U2 B' U' R',RFU
B' R B2 U2 B' U2 R',RFU
B' R D' R2 D R B,
B' R F R2 B F' R',
B' R' B R' B' R B,
B' R' B R2 B' R B,
B' R' B U2 F R' F',
B' R' B2 U' B2 R B,
B' R' D' R' D R2 B,
B' R' D' R2 D B R',
B' R' D' R2 D R' B,
B' R' F R' B R2 F',RFL
B' R' F R2 B R' F',RFL
B' R' U' R2 U B R',
B' R2 B F R F' R,
B' R2 B R F R F',RFL
B' R2 B R' B' R' B,
B' R2 B R2 B U B',
B' R2 B R2 B U' B',
B' R2 B R2 B U2 B',
