alg,notes
B D B2 U D' B R2,
B D' B' R B D B',
B D' B' R' B D B',
B D' B' R2 B D B',
B D' F' U2 F D B',
B D' R U R' D B',
B D' R' D R B' R',
B F R2 F' R2 U2 B2,
B F' L' U2 B' L F,
B F' R B R' B' F,
B F' U B2 U2 B F,
B F' U' B2 U2 B F,
B F' U' F L' B' L,
B F' U' L' B' L F,
B F' U' L2 B' L2 F,
B F' U2 B2 U2 B F,
B L' B' D2 R' D2 L,
B L' B' D2 R2 D2 L,
B R B R B' R2 B',RF
B R B U2 B R' B',RFU
B R B U2 B2 R' B',RFU
B R B U2 R' U B',RFU
B R B U2 R' U' B',RFU
B R B U2 R' U2 B',RFU
B R B' R B2 R2 B',RF
B R B2 R B' R2 B',RF
B R U B R' U B',RFU
B R U B R' U' B',RFU
B R U B R' U2 B',RFU
B R U B' R' U B',RFU
B R U B' R' U' B',RFU
B R U B' R' U2 B',RFU
B R U B2 R' U B',RFU
B R U B2 R' U' B',RFU
B R U B2 R' U2 B',RFU
B R U L' R' B' L,
B R U R' B2 U B,RFU
B R U R' B2 U' B,RFU
B R U R' B2 U2 B,RFU
B R U' B U2 R' B',RFU
B R U' B' U R' B',RFU
B R U' B2 U2 R' B',RFU
B R U' R B R2 B',RFU
B R U' R B' R2 B',RFU
B R U2 B U' R' B',RFU
B R U2 B' U' R' B',RFU
B R U2 B2 U' R' B',RFU
B R U2 B2 U2 R' B',RFU
B R U2 R B' R2 B',RFU
B R' B R B' U R,RFU
B R' B R B' U' R,RFU
B R' B R B' U2 R,RFU
B R' B' R B R B2,RF
B R2 B R' B R' B',RF
B R2 B R' B' R' B',RF
B R2 B R' B2 R' B',RF
B R2 B R2 B2 U B,RFU
B R2 B R2 B2 U' B,RFU
B R2 B R2 B2 U2 B,RFU
B R2 B2 R' U2 R' B',RFU
B R2 U R2 B' U' R2,RFU
B R2 U2 R2 B' U2 R2,RFU
B R2 U2 R2 U2 B' R2,RFU
B U B D' R' D B2,
B U B D' R2 D B2,
B U B R B2 U' R',RFU
B U B U D' R2 D,
B U B' R2 B2 R2 B2,RFU
B U B2 R U B R',RFU
B U B2 R U R' B,RFU
B U B2 R U' B R',RFU
B U B2 R U' R' B,RFU
B U B2 R2 B' R2 B2,RFU
B U B2 U' R2 B R2,RFU
B U F2 L2 B' L2 F2,
B U R B U' R' B',RFU
B U R B' U' R' B',RFU
B U R B2 U' R' B',RFU
B U R U' B R' B',RFU
B U R U' B' R' B',RFU
B U R U' B2 R' B',RFU
B U R2 B R2 U B',RFU
B U R2 B R2 U' B',RFU
B U R2 B R2 U2 B',RFU
B U' B D' R2 D B2,
B U' B R B2 U2 R',RFU
B U' B U D' R2 D,
B U' B' R2 B2 R2 B2,RFU
B U' B2 R U2 B R',RFU
B U' B2 R U2 R' B,RFU
B U' B2 R2 B' R2 B2,RFU
B U' F2 L' B' L F2,
B U' F2 L2 B' L2 F2,
B U' R B U R' B',RFU
B U' R B2 U2 R' B',RFU
B U' R U2 B R' B',RFU
B U' R U2 B' R' B',RFU
B U' R U2 B2 R' B',RFU
B U' R' B R B' R,RFU
B U2 B D' R2 D B2,
B U2 B R B2 U R',RFU
B U2 B R B2 U' R',RFU
B U2 B R B2 U2 R',RFU
B U2 B U D' R2 D,
B U2 B' R2 B2 R2 B2,RFU
B U2 B2 R U' B R',RFU
B U2 B2 R U' R' B,RFU
B U2 B2 R U2 B R',RFU
B U2 B2 R U2 R' B,RFU
