alg,notes
R B R' F R B' R' F',c
F R B R' F' R B' R',c
B L F U' F' U L' B',c
F R B' R' F' R B R',c
F R U' B U B' R' F',c
F R U' R' F' L' U L,c
F R' F R F2 L' U2 L,c
B L' B' L U L U' L',c
L F' L' F U2 F U2 F',c
B L' B' R B L B' R',c
L F' L' B L2 F L2 B',c
R B2 L' B2 R' B L B',c
F U F R' F' R U' F',c
L U L' B' R' U' R B,c
B U B' U' B' R B R',c
F U F2 L F L2 U L,c
B U L' B L B' U' B',c
B U2 B' R2 F R F' R,c
L U2 L' U2 L' B L B',c
L' B L F' L' B' L F,c
B' R B L' B2 R' B2 L,c
L' B L B' U' B' U B,c
B' R B R' U2 R' U2 R,c
R' F R' F' R2 B U2 B',c
L' B' L F' L' B L F,c
F' L' B L F L' B' L,c
R' F' L' F R F' L F,c
B' R' F' U F U' R B,c
F' L' U B' U' B L F,c
F' L' U L F R U' R',c
F' L2 B L2 F L' B' L,c
R' U' R B L U L' B',c
B' U' B U B L' B' L,c
F' U' F' L F L' U F,c
R' U' R2 B' R' B2 U' B',c
B' U' R B' R' B U B,c
L' U2 L F2 R' F' R F',c
B' U2 B U2 B L' B' L,c
