alg,notes
B F' D' B' U' B D B' F,
B F' L' B' U B L B' F,
B F' L' F' L F L B' F,
B L F L F L' F' L' B',
B' F R B F' U2 B' R B,
B' R' B U2 B' F R' B F',
B2 D' F2 D' F' D F' D B2,
F D B' R' B D' F2 U' F,
F R F' U' F' U F U2 R',
F R U R' U' F' R U' R',
F R' F' R2 U' R' F' U' F,
F R' F' R2 U' R2 F R F',
F R' F' R2 U2 R' F' U2 F,
F R' F' U' R U' R' U2 R,
F R' F' U2 R U R' U R,
F R' F2 L F R F' L' F,
F R' F2 L' F R F' L F,
F R' F2 R B' R' F R B,
F R' F2 R U R U' R' F,
F R2 B' R F' R2 B U R',
F R2 F' U R' U' F R2 F',
F U F U F U' F' U' F',Fast-Edge
F U F' R F U' F' U2 R',
F U F' R U F U2 F' R',
F U F' R' F R2 U' R' F',
F U F' R' F2 R F' U' F',
F U F' U F U2 F2 U2 F,
F U F2 R' F2 R F2 U' F',
F U F2 U F2 U2 R' F' R,
F U R U' R' F' R U' R',
F U R U' R2 F' R2 U R',
F U R' F' R U F U2 F',
F U R' F' R2 F U' F' R',
F U R' U' R' F' R U R,
F U R2 U' R F' R' U R2,
F U' F' U' R F U2 F' R',
F U' F2 U F R' F2 R F2,
F U2 B' R' F R' F2 R2 B,
F U2 F U' F2 U F' U2 F',
F U2 F' U' F U' F2 U2 F,
F U2 F' U' F' U F2 U2 F',
F U2 F2 U' F U F U2 F',
F U2 F2 U' F2 R U' R' F',
B' F' R' F2 R' F2 R2 B F,
F' L' U' B L' B' L2 U F,
F' L' U' L U' F R U' R',
F' L2 U' L U' L' U2 L2 F,
F' L2 U2 F' L F U2 L2 F,
F' R B U B' U' R' U2 F,
F' R B' R B R2 F' U2 F2,
F' R' F U' F' U R U F,
F' R' F U' F2 U F R F,
F' R' F' U' F U R U2 F,
F' R' F2 R F' U2 F2 U2 F2,
F' R' F2 U' F' U F2 R F,
F' R' U F U F' U' R F,
F' R' U' F U F' R U F,
F' R' U' F' U F R U F,
F' R' U' F' U F R U2 F,
F' U F R U R' F' U' F,
F' U F R U R2 F R F',
F' U F R U' R' F' U2 F,
F' U F R' F R F2 U2 F,
F' U F R2 B U B' U' R2,
F' U F' D' F U2 F' D F2,
F' U F' U' F U' F' U2 F2,
F' U F' U2 F U F' U F2,
F' U F' U2 F2 U F2 U F2,Brunette
F' U F' U2 R' F' R U2 F2,
F' U F' U2 R' F2 R U2 F2,
F' U F2 R' F' R F' U2 F,
F' U F2 R' F2 U' F U R,
F' U F2 U F2 U F2 U2 F',
F' U F2 U R' U' F' U R,
F' U R U2 R' U2 R' F R,
F' U' B F L U L' U' B',
F' U' B F U L U' L' B',
F' U' B' F R' U' R U B,
F' U' B' F U' R' U R B,
F' U' F R U' R' F' U' F,
F' U' F R U' R2 F R F',
F' U' F R U2 R' F' U2 F,
F' U' F R' F R F2 U' F,
F' U' F R' F' U' F U R,
