alg,notes
L D R' F R D' L' F U' F',c
L D F D' L' R F U' F' R',c
R U D B2 U' B2 D' R2 U2 R,c
L D' F D L' R F' U' F R',c
R D' F2 D B' D' F2 D B R',
R D' F2 D B2 D' F2 D B2 R',
L D2 L2 F' D2 R2 U2 B' L' R2,
L D2 L2 B' L2 D2 R2 F' L' R2,
R D2 L2 U' L2 U D2 R2 U2 R,
B F D2 B' U' B D2 B' U F',c
L R D2 L' U2 L D2 L' U2 R',
B F R F' L F R' F' L' B',c
L R B R' F2 R B' R' F2 L',c
B F R B' R' F' R B R' B',c
B F R B' U B R' B' U' F',c
L R B L' U2 L B' L' U2 R',c
B F R B2 R' F' R B2 R' B',c
B F L2 D2 B F R2 D2 B2 L2,
L R U' L2 U R' U' L2 U L',c
B F U2 B' F' L' R' U2 L R,c
B F U2 F' U' F U2 B' U F',c
L R' D R U R' D' R U' L',c
L R' D R U' R' D' R U L',c
L R' D F D' L' R F U' F',c
B F' D L' D' B' F L U L',c
L' R D B2 D' R2 U R U' L,c
L R' D' L' U L D L' U' R,c
B' F D' F' U' F D F' U B,c
L R' D' F D L' R F' U' F,c
B F' D' L' D B' F L' U L,c
B F' D' L2 D F2 U' F' U B',c
L' R B L B' R' B L' B' L,c
L' R B L B' R' U' B' U B,c
L R' F R F' L' U2 F' U2 F,c
B F' L F' L' D' L D B' F2,c
B' F R' F R D R' D' B F2,c
B F' L' B' L F L' B L B',c
B F' L' B' L F U L U' L',c
L R' F' L' F R U2 F U2 F',c
B F' L2 B L B' L F U2 B',c
L' R B2 R' B2 L U R' U R,c
B F' L2 F L2 B' U' F U' F',c
L' R B2 L' B' L B' R' U2 L,c
L R' F2 U F2 U' F2 L' U' R,c
B' F R2 U' R2 U R2 B U F',c
B F' U B U' F U B' U' B',c
L' R U R' U R U2 R' U2 L,c
L' R U R' U L F2 R' F2 R,c
L R' U L' U' L' R B L B',c
L R' U L' U' R U L U' L',c
B' F U F' U' B U2 F U2 F',c
L R' U F U F' U' R U' L',c
L R' U F U' F' U' R U L',c
L' R U' L U L R' F' L' F,c
B' F U' B U F' U' B' U B,c
L R' U' R U L' U2 R' U2 R,c
B F' U' F U' B' R2 F R2 F',c
B F' U' F U' F' U2 F U2 B',c
B' F U' B' U F' U' B U B,c
L R' U' F' U F U L' U' R,c
B' F U' R' U' R U F' U B,c
L2 R D' R' U' R D R' U L2,c
B F2 D' L D B' F2 R U' R',c
L2 R D' B' D B L B' L R',c
B F2 D2 B D2 B' F2 L' B' L,c
B F2 D2 B' U' B D2 B' U F2,
L R2 D2 L2 F' D2 R2 U2 B' L',
L R2 D2 L2 B' L2 D2 R2 F' L',
L2 R B R' F2 R B' R' F2 L2,c
B2 F R B2 D2 F2 L F2 D2 F',c
B2 F R B2 R' F' R B2 R' B2,c
B F2 L2 B' R2 B L2 B' R2 F2,c
B2 F R2 B R2 B2 F' L' B' L,c
B2 F L U2 B2 D2 R F2 D2 F',c
L2 R U' L U R' U' L' U L2,c
B2 F U' B2 U F' U' B2 U B2,c
F R B F' U B' U' F R' F',c
B L B' R B L' U B' U' R',c
B L B' R B L2 B L B2 R',c
B L B' R B U' L' U B' R',c
F R F' L' F U R' U' F' L,c
B L B' U F U' B F' L' B',c
B L F L' B' L U F' U' L',c
R B L F L' B' L F' L' R',c
R B L U' L' B' R' F' U F,c
F R B U2 B' R' F' L' U2 L,c
B L F' L D F' D' F2 L2 B',c
R B L' B L B' U B' U' R',c
B L F' L' B' F U F U' F',c
B L F' L' B' F U2 F U2 F',c
R B L' B2 D' B' D L B2 R',c
F R B2 D2 F2 L F2 D2 B2 F',c
R B U B' R B' R' B U' R',RFU c
B L U L' B' R' F' U' F R,c
F R U R' F' U' F' L F L',c
R B U B' R2 F R F2 U F,c
R B U B' U R' U' R U' R',RFU c
F R U R' U' R U R' U' F',RFU c
