htm,alg,notes
11,B D U' L R' U2 L' R D' U B,
11,B D U' L R' U2 L' R D' U' B,
11,B D' U B F' U B' F D U' B2,
11,B D' U B F' U' B' F D U B2,
11,B D' U' B F' U B' F D U' B2,
11,B D' U' B F' U' B' F D U B2,
11,B F D B F D2 B' F' D' B' F',
11,B F D B F' R2 B' F D B' F',
11,B F D B' F' U2 B F D' B' F',
11,B F D L' R D2 L R D B F',
11,B F D L' R D2 L R' D B F',
11,B F D L' R' D2 L R D B' F',
11,B F D U R2 D U' B F D2 F2,
11,B F D U R2 D U' B' F D2 F2,
11,B F D U' L' D2 L D U B' F',
11,B F D U' L2 D2 L2 D U B' F',
11,B F D U' R2 U' R2 D' U B' F',
11,B F D' B F D2 B' F' D B' F',
11,B F D' B' F L2 B F' D' B' F',
11,B F D' B' F' U2 B F D B' F',
11,B F D' L' R D2 L R' D' B F',
11,B F D' L' R' D2 L R D' B' F',
11,B F D' U L2 U' L2 D U' B' F',
11,B F D' U R' D2 R D' U' B' F',
11,B F D' U R2 D U' R2 B' F' R2,
11,B F D' U R2 D2 R2 D' U' B' F',
11,B F D2 B F D' U' L2 D' U F2,
11,B F D2 B F D2 B F U' B F,
11,B F D2 B F D2 B' F U' B' F,
11,B F D2 B F L R' B2 L' R F2,
11,B F D2 B F U' D' L2 U D' F2,
11,B F D2 B' F L' R F2 U2 L R',
11,B F D2 B' F' U B' F D2 B F',
11,B F D2 B2 D' U R' D' U' B F',
11,B F D2 B2 U D' R' U' D' B F',
11,B F D2 L R D2 L' R' B' F' D2,
11,B F D2 L' R F2 U2 L R' B' F,
11,B F D2 L' R' D2 L R D2 B' F',
11,B F L R B L' R' B' F L' F2,
11,B F L R B2 L' R D2 R2 B' F',
11,B F L R D2 L R' B2 L2 B' F',
11,B F L R D2 L' R' D2 B' F' D2,
11,B F L R' D2 F2 L' R U B' F,
11,B F L R' D2 F2 L' R U2 B' F,
11,B F L R' U2 F2 L' R U2 B F',
11,B F L' R B' D2 B L R' B F',
11,B F L' R D R2 D L R B F',
11,B F L' R D2 L R B' F' R2 B2,
11,B F L' R D2 L R' F2 U' B F,
11,B F L' R D2 L R' F2 U2 B F,
11,B F L' R' B2 L' R D2 L2 B' F',
11,B F L' R' D L R F2 U2 B' F,
11,B F L' R' D2 L R' B R2 B' F',
11,B F L' R' D2 L R' B' R2 B' F',
11,B F L' R' D2 L R' B2 R2 B' F',
11,B F L' R' F2 L' R' B F D2 R2,
11,B F L2 B2 L' R D2 L' R' B' F',
